"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","height","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square"
"23",594.601088,476.562440395355,0.0150903426110744,-101.343757629395,-66.9524688720703,"Sst-IRES-Cre",81.7500038146972,1.02447166666667,-57.6145858764648,1.02325666666667,24.1354179382324,1.83023166666667,-70.125005086263,380,1.02285666666667,-45.6354192097982,1.83023166666667,-70.125005086263,2.03631990100366
"34",302.033856,287.343800067902,0.155002474784851,-100.375007629395,-69.8161087036133,"Vip-IRES-Cre",92.1041730244955,1.02443333333333,-56.7500038146973,1.02348,35.3541692097982,1.93082666666667,-70.156255086263,300,1.0231,-47.4583333333333,1.93082666666667,-70.156255086263,1.86110792567326
"37",190.409872,143.749997019768,0.0830477774143219,-91.375,-70.9986572265625,"Sst-IRES-Cre",85.619792620341,1.02423583333333,-59.9270839691162,1.02342166666667,25.6927086512248,1.39934416666667,-71.5052083333333,550,1.02299666666667,-47.6406256357829,1.39934416666667,-71.5052083333333,1.33850405862797
"38",246.92152,249.33035671711,0.12509985268116,-94.46875,-65.5227432250977,"Sst-IRES-Cre",69.6718785762786,1.02460125,-58.7734403610229,1.02328875,10.8984382152557,1.33669875,-65.5078144073486,440,1.022935,-42.0859375,1.33669875,-65.5078144073486,1.63105249517239
"41",271.40336,263.750106096268,0.0334620662033558,-94.21875,-66.1558990478516,"Htr3a-Cre_NO152",93.5416704813639,1.02427083333333,-52.7500019073486,1.02324666666667,40.7916685740153,1.61669583333333,-67.2447954813639,350,1.02297,-41.6979192097982,1.61669583333333,-67.2447954813639,2.38960234474327
"44",438.913472,454.531192779541,0.00303306360729039,-97.125,-64.803352355957,"Htr3a-Cre_NO152",85.4531288146972,1.02415625,-62.5000028610229,1.02304625,22.9531259536743,1.78035875,-65.8281269073486,160,1.022685,-49.3671894073486,1.78035875,-65.8281269073486,1.95410241904692
"47",146.467936,65.781369805336,0.0459909923374653,-94.1562576293945,-77.5109786987305,"Pvalb-IRES-Cre",90.7500026702881,1.024238,-58.4875007629395,1.023351,32.2625019073486,1.542911,-77.6187530517578,0,1.023046,-41.0125007629395,1.542911,-77.6187530517578,1.68827146941465
"53",128.370248,96.2498858571053,0.115608237683773,-84.0312576293945,-73.3089828491211,"Htr3a-Cre_NO152",90.2250045776367,1.028391,-60.8375030517578,1.023523,29.3875015258789,1.139618,-74.2937561035156,760,1.023144,-42.9187515258789,1.139618,-74.2937561035156,2.47461868838542
"64",295.471392,381.116092205048,0.0323237255215645,-97.2500076293945,-61.246337890625,"Chrna2-Cre_OE25",81.2343792915344,1.0252725,-50.4843778610229,1.0234575,30.7500014305115,1.2777825,-62.7226605415344,410,1.02301,-40.6132845878601,1.2777825,-62.7226605415344,2.51703824857989
"65",457.05392,429.464250802994,0.0329337976872921,-101.125,-61.4177131652832,"Htr3a-Cre_NO152",72.3375032424927,1.024488,-57.5687522888184,1.023331,14.7687509536743,1.604589,-63.1812561035156,92,1.022967,-45.8312522888184,1.604589,-63.1812561035156,1.75450126147248
"66",252.332384,274.062603712082,0.00390733359381557,-94.53125,-64.5871353149414,"Htr3a-Cre_NO152",53.3125019073486,1.026495,-50.4687519073486,1.0236825,2.84375,1.606105,-64.3125,0,1.0231175,-39.5625,1.606105,-64.3125,2.84107387810398
"68",184.539952,182.500004768372,0.11977082490921,-92.1875,-71.7014846801758,"Sst-IRES-Cre",96.6000064849853,1.02443,-67.3125045776367,1.02337,29.2875019073486,1.043153,-72.8187561035156,380,1.023031,-46.4000007629395,1.043153,-72.8187561035156,1.70693600765492
"73",220.59136,98.9955067634583,0.0657196864485741,-88.90625,-74.5770797729492,"Pvalb-IRES-Cre",85.5750038146973,1.023784,-64.2562530517578,1.02324,21.3187507629395,1.177052,-76.2125061035156,336,1.022984,-48.3437515258789,1.177052,-76.2125061035156,1.33184309755992
"78",116.209488,84.3750014901161,0.0581761337816715,-85.1250076293945,-75.4689025878906,"Htr3a-Cre_NO152",96.9062538146972,1.02778,-63.4609384536743,1.023425,33.4453153610229,1.152265,-75.8203144073486,840,1.02309,-39.2421894073486,1.152265,-75.8203144073486,2.56839546685967
"79",218.646752,135.312616825104,0.0169601105153561,-83.96875,-68.6992721557617,"Pvalb-IRES-Cre",80.1822945276896,1.02428,-58.9427108764648,1.02338,21.2395836512248,1.243265,-68.7447929382324,0,1.02309583333333,-41.5520839691162,1.243265,-68.7447929382324,1.59308404621355
"80",290.759008,258.593797683716,0.146825417876244,-98.2812576293945,-75.1858596801758,"Vip-IRES-Cre",69.7031269073486,1.02573,-53.8750019073486,1.02376,15.828125,1.43405,-75.8906326293945,290,1.02341,-47.2343769073486,1.43405,-75.8906326293945,2.51657007381612
"81",455.143616,338.593661785126,0.0336970798671246,-96.78125,-65.1880950927734,"Htr3a-Cre_NO152",69.0937547683716,1.0253,-54.9062538146973,1.02412,14.1875009536743,1.91014,-66.28125,340,1.02372,-49.4375,1.91014,-66.28125,2.15837934727449
"83",138.529536,82.8124955296516,0.0359153226017952,-93.03125,-83.3805465698242,"Pvalb-IRES-Cre",85.4531265894572,1.02423666666667,-67.9531262715658,1.02333166666667,17.5000003178914,1.67586083333333,-82.5989634195964,226.666666666667,1.02305,-45.614585240682,1.67586083333333,-82.5989634195964,1.48230866624888
"86",267.333216,244.375079870224,0.148372203111649,-99.7187576293945,-72.7958526611328,"Sst-IRES-Cre",81.9000030517578,1.024772,-58.9000015258789,1.023582,23.0000015258789,1.471306,-73.0875030517578,0,1.023139,-41.1750022888184,1.471306,-73.0875045776367,1.53834144439821
"90",81.808176,82.5000405311584,0.0312513895332813,-86.0625076293945,-69.6435470581055,"Pvalb-IRES-Cre",74.0104211171468,1.0248925,-56.3802121480306,1.02328916666667,17.6302089691162,1.32689666666667,-69.9375025431315,820,1.02302333333333,-43.4479192097982,1.32689666666667,-69.9375025431315,1.59894055949684
"92",105.004096,106.250002980232,0.0707838535308838,-85.4375076293945,-73.8230819702148,"Htr3a-Cre_NO152",86.1500019073486,1.029002,-64.3312515258789,1.023125,21.8187503814697,1.475093,-74.7562545776367,740,1.022826,-42.6312522888184,1.475093,-74.7562545776367,2.73870846118891
"104",161.001792,105.156250298023,0.0280808564275503,-100.468757629395,-74.0991973876953,"Pvalb-IRES-Cre",79.0703158378601,1.0242,-62.7812528610229,1.02343375,16.2890629768372,1.698995,-75.1718769073486,0,1.02316125,-41.6015663146973,1.698995,-75.1718769073486,1.34655380539531
"105",227.981824,312.18758225441,0.0285992901772261,-94.5937576293945,-61.9263076782227,"Chrna2-Cre_OE25",86.8359394073486,1.02547,-50.4843759536743,1.02361,36.3515634536743,1.352735,-62.8828153610229,479.999969482422,1.023115,-43.359375,1.352735,-62.8828153610229,2.74799510096908
"109",211.051296,211.87499165535,0.25926661491394,-94.9062576293945,-70.3972854614258,"Sst-IRES-Cre",91.223960240682,1.02438083333333,-52.2656256357829,1.0234,38.9583346048991,1.3634375,-71.3437512715658,720,1.02307583333333,-45.421875,1.3634375,-71.3437512715658,2.15262037030336
"110",130.90852,101.250037550926,0.0176252461969852,-86.2812576293945,-75.1085433959961,"Pvalb-IRES-Cre",80.2083350817362,1.0240175,-66.9791679382324,1.02319083333333,13.2291671435038,1.5513425,-76.0625025431315,433.333333333333,1.02294666666667,-45.3281269073486,1.5513425,-76.062505086263,1.41283992757964
"112",177.17712,132.656246423721,0.184340372681618,-89.4687576293945,-73.6015090942383,"Sst-IRES-Cre",96.2968788146973,1.02423,-63.4531288146973,1.02338,32.84375,1.30271,-74.2500038146973,890,1.023075,-45.0000019073486,1.30271,-74.2500038146973,1.95227771667287
"120",343.51312,174.374997615814,0.0474362894892693,-93.09375,-73.5498428344727,"Chat-IRES-Cre-neo",94.3828153610229,1.02554,-53.5937519073486,1.0235075,40.7890634536743,1.663965,-74.3789100646973,360,1.0231275,-44.7500009536743,1.663965,-74.3789100646973,3.53679025169967
"122",140.350912,132.812693715096,0.0285200737416744,-88.5625,-75.2428283691406,"Htr3a-Cre_NO152",86.5208361943563,1.02822583333333,-62.864585240682,1.02322,23.6562509536743,1.67033833333333,-75.562505086263,730,1.02292333333333,-43.8020858764648,1.67033833333333,-75.562505086263,2.44980269197981
"130",152.78832,122.187457978725,0.0110582625493407,-99.59375,-75.73974609375,"Pvalb-IRES-Cre",101.08854230245,1.02414166666667,-69.4791666666667,1.0234375,31.6093756357829,1.55817,-75.7552108764648,370,1.02311916666667,-51.255210240682,1.55817,-75.7552108764648,1.34666814065237
"135",148.943296,81.2499970197678,0.00915148854255676,-85.03125,-74.6396560668945,"Pvalb-IRES-Cre",90.0000038146973,1.024076,-66.6125030517578,1.023409,23.3875007629395,1.224035,-75.7250015258789,530,1.023139,-50.11875,1.224035,-75.7250015258789,1.39723656145842
"141",159.685184,137.656286358833,0.0748733133077621,-92.28125,-76.3616561889648,"Htr3a-Cre_NO152",79.1562528610229,1.023945,-61.1015644073486,1.02331,18.0546884536743,1.1075925,-77.3593788146973,122.499992370605,1.0230525,-47.2812519073486,1.1075925,-77.3593807220459,1.2703708776937
"144",443.305856,491.874992847443,0.0494608357548714,-94.46875,-58.3895721435547,"Sst-IRES-Cre",74.0750009536744,1.024946,-57.9750007629395,1.023571,16.1000001907349,1.559341,-60.8437507629395,47.9999969482422,1.023144,-41.4000015258789,1.559341,-60.8437507629395,1.63644646546409
"145",262.940592,197.968780994415,0.121957555413246,-100.90625,-72.2550735473633,"Pvalb-IRES-Cre",65.7291679382324,1.02441166666667,-60.9895846048991,1.02339833333333,4.73958333333333,1.52568333333333,-72.1666666666667,0,1.023135,-45.8750012715658,1.52568333333333,-72.1666666666667,1.4944817952681
"148",332.561728,217.187389731407,0.0512986890971661,-96.9375076293945,-72.9392852783203,"Vip-IRES-Cre",90.166670481364,1.02605333333333,-55.6041692097982,1.02364666666667,34.5625012715658,1.66969333333333,-72.9479192097982,300,1.02313333333333,-47.5416692097982,1.66969333333333,-72.9479217529297,2.83531082658315
"149",138.222464,90.4687494039536,0.0623507685959339,-89,-78.6321334838867,"Htr3a-Cre_NO152",102.525006103516,1.02817,-68.1375045776367,1.023142,34.3875015258789,1.15079,-79.8437561035156,830,1.022886,-40.2187515258789,1.15079,-79.8437561035156,2.76110003567703
"150",338.230464,214.843794703484,0.0324125289916992,-88.3437576293945,-65.2329788208008,"Htr3a-Cre_NO152",93.4312545776368,1.02671,-57.5062522888184,1.023252,35.9250022888184,1.042814,-66.7750015258789,360,1.02287,-38.1000022888184,1.042814,-66.7750015258789,2.63125434753618
"154",104.088008,56.7187517881393,0.0936134979128838,-90.4687576293945,-83.2276611328125,"Pvalb-IRES-Cre",84.8812520980835,1.024035,-68.7750015258789,1.023394,16.1062505722046,1.621727,-83.5312576293945,810.000061035156,1.023087,-54.2187530517578,1.621727,-83.5312576293945,1.25261396395045
"157",202.380544,190.937533974648,0.131219401955605,-98.25,-76.5436096191406,"Chrna2-Cre_OE25",92.2968807220459,1.02514666666667,-51.1614621480306,1.02341,41.1354185740153,1.66091333333333,-76.4531288146973,750,1.02302333333333,-45.3541685740153,1.66091333333333,-76.453130086263,3.77511034654643
"160",235.689568,189.531251788139,0.0383005104959011,-96.59375,-75.6874694824219,"Gad2-IRES-Cre",68.2937519073486,1.024368,-60.3687515258789,1.023239,7.92500038146973,1.754065,-76.1562530517578,570,1.022903,-40.3562507629395,1.754065,-76.1562530517578,1.50009864447969
"162",160.333904,148.75003695488,0.129600584506989,-88.46875,-71.9916076660156,"Htr3a-Cre_NO152",93.3437553405762,1.024261,-57.0000022888184,1.023257,36.3437530517578,1.408845,-72.7125015258789,300,1.023002,-48.4375022888184,1.408845,-72.7125015258789,2.91790891708717
"165",86.305232,72.1874982118607,0.0210853274911642,-83.7812576293945,-76.1771469116211,"Htr3a-Cre_NO152",95.2437553405762,1.029535,-66.5125045776367,1.023371,28.7312507629395,1.385703,-77.5375030517578,1060,1.023016,-40.4437530517578,1.385703,-77.5375030517578,2.6635729426358
"171",191.084912,113.749966025352,0.0562722645699978,-100.71875,-79.1717681884766,"Pvalb-IRES-Cre",74.9062523841858,1.02440125,-59.2578144073486,1.02336875,15.6484379768372,1.70828625,-79.6484432220459,0,1.02308375,-44.5859413146973,1.70828625,-79.6484432220459,1.66232940196924
"173",294.03296,192.455351352692,0.047018401324749,-96.28125,-75.0899429321289,"Htr3a-Cre_NO152",87.681254196167,1.025776,-58.4000030517578,1.023428,29.2812511444092,1.400732,-75.2812545776367,520,1.023048,-38.1625015258789,1.400732,-75.2812545776367,2.9167237540295
"176",491.303328,249.218866229057,0.0663887560367584,-99.25,-72.1371765136719,"Vip-IRES-Cre",84.487504196167,1.024808,-53.8500030517578,1.023228,30.6375011444092,1.660824,-72.6875015258789,350,1.022872,-43.7812515258789,1.660824,-72.6875030517578,2.96057160309452
"185",254.424752,276.875048875809,0.166442587971687,-100.437507629395,-70.8718795776367,"Chrna2-Cre_OE25",100.070316314697,1.024065,-64.5546875,1.02265,35.5156288146973,1.819275,-71.5078182220459,499.999969482422,1.02229,-45.6250028610229,1.819275,-71.5078182220459,2.66737425355191
"192",253.779808,153.28124165535,0.032016895711422,-88.2187576293945,-70.6198348999023,"Sst-IRES-Cre",99.9437530517578,1.024228,-64.2562515258789,1.023384,35.6875015258789,1.237532,-71.3500045776367,340,1.023064,-49.7875030517578,1.237532,-71.3500045776367,1.8892988358641
"196",204.242384,121.874995529652,0.0165599696338177,-88.0312576293945,-73.5458374023438,"Pvalb-IRES-Cre",80.4921913146972,1.023995,-60.9609403610229,1.023375,19.5312509536743,1.56886,-75.1484432220459,0,1.02309,-46.8515663146973,1.56886,-75.1484432220459,1.32918289311177
"199",139.47488,213.125109672546,0.0492967180907726,-91.375,-67.7098922729492,"Chrna2-Cre_OE25",90.0375030517579,1.025278,-53.9687522888184,1.023122,36.0687507629395,1.740638,-68.4687545776367,750,1.022699,-46.7000030517578,1.740638,-68.4687545776367,3.7109050647893
"201",389.1112,271.406292915344,0.06634571403265,-101.281257629395,-69.2375411987305,"Vip-IRES-Cre",76.4479207992553,1.02519333333333,-47.7239608764648,1.02341666666667,28.7239599227905,1.66518,-70.4531275431315,260,1.02308,-41.4479179382324,1.66518,-70.4531275431315,3.26469566852001
"202",93.91992,52.3437894880772,0.0390145964920521,-81.8437576293945,-75.7674789428711,"Pvalb-IRES-Cre",79.9531291325887,1.023555,-62.7916704813639,1.02308083333333,17.1614586512248,1.21761583333333,-75.1093788146973,820,1.02288,-44.9166685740153,1.21761583333333,-75.1093788146973,1.24902792341606
"204",217.243296,194.37500834465,0.0493998341262341,-90.125,-68.5249328613281,"Nkx2-1-CreERT2",94.4062538146972,1.02454,-53.8359394073486,1.023455,40.5703144073486,1.427565,-69.5625019073486,420,1.02313,-37.9531278610229,1.427565,-69.5625019073486,2.28618242456674
"207",178.153936,150.625005364418,0.0208734646439552,-90.1562576293945,-73.6513824462891,"Nkx2-1-CreERT2",78.3437550067902,1.02827,-63.4687538146973,1.02345,14.8750011920929,1.70239,-74.3593788146973,570,1.023065,-38.4140634536743,1.70239,-74.3593788146973,2.4278165273616
"212",253.627056,202.72321999073,0.0289534665644169,-92.9375076293945,-71.8275680541992,"Nkx2-1-CreERT2",80.4187530517578,1.027488,-58.3812515258789,1.023452,22.0375015258789,1.39562,-71.9812530517578,590,1.023108,-35.0000007629395,1.39562,-71.9812530517578,2.40931369637366
"213",205.585184,165.80356657505,0.114712543785572,-90.9062576293945,-73.2946472167969,"Sst-IRES-Cre",98.8625045776368,1.024655,-61.0125038146973,1.023534,37.8500007629395,1.479514,-73.6750045776367,610,1.023148,-37.9250030517578,1.479514,-73.6750045776367,1.61793940798716
"214",81.538488,58.593787252903,0.054281510412693,-92.1250076293945,-77.0154571533203,"Pvalb-IRES-Cre",75.5125057220459,1.024253,-62.6875053405762,1.023218,12.8250003814697,1.333116,-77.2750030517578,1010.00006103516,1.022938,-44.4687522888184,1.333116,-77.2750030517578,1.45379206300526
"220",172.50256,144.999846816063,0.103174313902855,-94.6875076293945,-67.8475646972656,"Pvalb-IRES-Cre",92.7031297683715,1.024185,-58.8593778610229,1.02346,33.8437519073486,1.4239975,-68.8750057220459,0,1.02316,-42.4375019073486,1.4239975,-68.8750076293945,1.52858375136965
"222",172.376336,118.906289339066,0.0781399831175804,-77.7187576293945,-63.9528121948242,"Htr3a-Cre_NO152",77.0312519073486,1.02709,-54.71875,1.023555,22.3125019073486,1.04764,-66.71875,460,1.023145,-42.65625,1.04764,-66.71875,1.90921637444645
"223",191.82192,138.794541358948,0.0800789520144463,-101.125,-75.6486053466797,"Pvalb-IRES-Cre",87.7812519073487,1.02401166666667,-63.8437512715658,1.02330666666667,23.9375006357829,1.39695833333333,-76.2291692097982,489.999969482422,1.02301333333333,-47.9375,1.39695833333333,-76.2291717529297,1.33600664421107
"225",123.666592,93.3592766523361,0.0421907342970371,-84.09375,-75.7731857299805,"Pvalb-IRES-Cre",75.3177092870076,1.02392416666667,-63.2135423024495,1.02328833333333,12.1041669845581,1.56075916666667,-75.9479192097982,540,1.02302166666667,-52.6770846048991,1.56075916666667,-75.9479192097982,1.38061165415109
"228",97.848864,59.0626150369644,0.0487442165613174,-81.5,-73.6921920776367,"Htr3a-Cre_NO152",90.575004196167,1.023809,-60.4437530517578,1.023232,30.1312511444092,1.419797,-75.2000045776367,516.000036621094,1.022999,-42.7562515258789,1.419797,-75.2000045776367,1.43465223748537
"230",267.645056,230.15633225441,0.27087190747261,-99.0625,-73.4133911132812,"Htr3a-Cre_NO152",95.3541717529297,1.0244475,-58.6302115122477,1.023515,36.723960240682,1.17321833333333,-74.0625038146973,280,1.02311333333333,-47.9635442097982,1.17321833333333,-74.0625038146973,1.91077639752845
"232",167.413408,103.750072419643,0.0313009656965733,-90.1875076293945,-81.0082778930664,"Pvalb-IRES-Cre",76.1458341280619,1.02455416666667,-63.0520839691162,1.023385,13.0937501589457,1.75895916666667,-83.078125,121.666666666667,1.02303416666667,-46.8697929382324,1.75895916666667,-83.078125,1.58079055923354
"233",110.729696,67.9086819291115,0.0338015183806419,-93.71875,-76.3146133422852,"Pvalb-IRES-Cre",97.4375030517579,1.02392,-63.7875022888184,1.023288,33.6500007629395,1.515657,-76.9562530517578,760,1.023044,-41.1625030517578,1.515657,-76.9562530517578,1.31881641885738
"235",99.442536,67.3439055681229,0.0821302458643913,-90,-72.9205703735352,"Pvalb-IRES-Cre",81.3541700045268,1.02387583333333,-60.2760442097982,1.02321583333333,21.0781257947286,1.2025525,-73.5364608764648,750,1.02298416666667,-40.3020846048991,1.2025525,-73.5364608764648,1.33615680264123
"237",164.403856,218.281373381615,0.065653033554554,-91.34375,-67.5254211425781,"Sst-IRES-Cre",78.8250034332276,1.024546,-58.5312522888184,1.023443,20.2937511444092,1.424792,-68.4187530517578,122,1.023108,-39.0062522888184,1.424792,-68.4187530517578,1.69213231443478
"241",288.786368,235.625118017197,0.0235721748322248,-93.09375,-69.0758590698242,"Nkx2-1-CreERT2",82.4843797683716,1.024265,-61.2968788146973,1.023465,21.1875009536743,1.382515,-70.4765682220459,290,1.023185,-42.4218759536743,1.382515,-70.4765682220459,1.67426270649548
"246",219.979024,186.718642711639,0.127457618713379,-96.9375076293945,-76.3768463134766,"Sst-IRES-Cre",87.2890663146972,1.02448875,-64.1875028610229,1.0233875,23.1015634536743,1.41012625,-77.0156307220459,430.000030517578,1.02305375,-49.1171903610229,1.41012625,-77.0156326293945,1.82917491977863
"248",144.4344,93.5937836766243,0.0973421111702919,-83.59375,-72.8668365478516,"Gad2-IRES-Cre",98.2500007629395,1.023797,-65.9625,1.023285,32.2875007629395,1.274855,-73.9187515258789,112,1.023042,-45.2687515258789,1.274855,-73.9187515258789,1.22354413001674
"249",237.59472,178.593754768372,0.0985553190112114,-99.3125076293945,-71.8591003417969,"Pvalb-IRES-Cre",79.7375022888184,1.024328,-62.2250015258789,1.023341,17.5125007629395,1.632336,-73.2062530517578,469.999969482422,1.023003,-44.2812507629395,1.632336,-73.2062545776367,1.45421681114787
"252",209.048544,210.781291127205,0.039730466902256,-91.96875,-68.2111053466797,"Sst-IRES-Cre",92.4375030517579,1.024229,-59.9812522888184,1.023447,32.4562507629395,1.315856,-69.1750045776367,0,1.023164,-44.1187538146973,1.315856,-69.1750045776367,1.83929585983341
"253",419.959072,273.906260728836,0.127086594700813,-99.09375,-72.972297668457,"Htr3a-Cre_NO152",89.4625022888184,1.025602,-55.6937515258789,1.023464,33.7687507629395,1.557804,-73.2562530517578,360,1.023116,-43.2000015258789,1.557804,-73.2562530517578,3.05261650704429
"261",213.415776,164.687544107437,0.00490313256159425,-87.5625,-68.8334197998047,"Htr3a-Cre_NO152",67.2968777020773,1.02953833333333,-60.3541692097982,1.02348166666667,6.94270849227905,1.34619166666667,-69.1302108764648,520,1.02309666666667,-35.5885448455811,1.34619166666667,-69.1302108764648,2.04343355876473
"262",200.542144,115.468747913837,0.0158823784440756,-89.625,-77.1948776245117,"Chrna2-Cre_OE25",80.8385454813639,1.02692666666667,-56.3281275431315,1.02348333333333,24.5104179382324,1.52113333333333,-77.2604217529297,770,1.02308333333333,-36.6562519073486,1.52113333333333,-77.2604230244954,2.38330587212953
"268",200.424128,162.950426340103,0.037679847329855,-100.156257629395,-69.2242050170898,"Pvalb-IRES-Cre",66.1328154802322,1.02412875,-61.4296903610229,1.02335,4.70312511920929,1.64948875,-70.0000019073486,390,1.02311875,-41.8828153610229,1.64948875,-70.0000019073486,1.31030905841086
"269",147.043344,106.40636831522,0.0415983870625496,-95.8437576293945,-79.3194808959961,"Pvalb-IRES-Cre",83.3046917915345,1.024045,-62.2109413146973,1.023345,21.0937504768372,1.36684125,-78.9609375,0,1.02308875,-42.1250009536743,1.36684125,-78.9609375,1.35143242285189
"271",278.638656,197.656199336052,0.0450279004871845,-82.3750076293945,-59.7773742675781,"Chrna2-Cre_OE25",88.2500045776368,1.024768,-50.9187522888184,1.023252,37.3312522888184,1.072296,-60.8000022888184,360,1.022852,-43.8437538146973,1.072296,-60.8000030517578,2.80526442763719
"274",272.902624,219.218745827675,0.0653395056724548,-97.15625,-74.1142349243164,"Sst-IRES-Cre",95.7625015258789,1.024527,-66.0750015258789,1.023303,29.6875,1.356476,-75.8125015258789,400,1.022957,-41.79375,1.356476,-75.8125015258789,1.80109976434644
"280",131.534336,91.7188674211502,0.0427062027156353,-83.7187576293945,-72.9193115234375,"Pvalb-IRES-Cre",86.9062534332275,1.02365,-65.3187530517578,1.02318,21.5875003814697,1.652679,-74.0625,570,1.022973,-46.2187515258789,1.652679,-74.0625,1.21518453344243
"281",225.293296,231.562420725822,0.0236294623464346,-96.0312576293945,-71.2807159423828,"Vip-IRES-Cre",98.1125030517579,1.024332,-56.4375022888184,1.023336,41.6750007629395,1.60636,-71.5125045776367,499.999969482422,1.023008,-45.3687515258789,1.60636,-71.5125045776367,2.88153401493385
"282",213.602096,242.1875,0.19055113196373,-98.96875,-72.1569137573242,"Sst-IRES-Cre",64.7656292915345,1.024465,-55.2656288146973,1.023405,9.50000047683716,1.1802575,-73.4218826293945,0,1.0231525,-32.0000019073486,1.1802575,-73.4218826293945,1.4910164838967
"285",342.28384,344.68749165535,0.0512895882129669,-100.5,-62.6112518310547,"Htr3a-Cre_NO152",73.9531283378601,1.02487,-52.5234394073486,1.02357,21.4296889305115,1.54001375,-63.6796903610229,230,1.02321875,-39.8125009536743,1.54001375,-63.6796903610229,2.3201498741366
"286",337.48256,230.468943715096,0.0809965506196022,-98.4062576293945,-71.961540222168,"Chrna2-Cre_OE25",93.7083396911621,1.02421333333333,-59.8958371480306,1.0233,33.8125025431315,1.56566,-72.4791692097982,499.999969482422,1.02296666666667,-42.8645846048991,1.56566,-72.4791692097982,2.03203969503602
"291",352.433632,150.000005960464,0.254479914903641,-101.968757629395,-69.6007308959961,"Sst-IRES-Cre",94.0703191757202,1.02391375,-59.7500038146973,1.02322625,34.3203153610229,1.23908375,-70.0546951293945,419.999969482422,1.0229325,-42.0625009536743,1.23908375,-70.0546951293945,1.4283511001692
"293",356.36832,262.890517711639,0.0778369456529617,-98.875,-73.1615219116211,"Sst-IRES-Cre",99.456251525879,1.024517,-59.0937507629395,1.023631,40.3625007629395,1.717196,-74.15,340,1.023288,-48.5062538146973,1.717196,-74.15,2.12091022075957
