"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","firing_rate","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"230",267.645056,230.156332254,0.270871907473,-99.0625,-73.4133911133,"Htr3a-Cre_NO152",30.2617642609,3.63121333333,-55.3958346049,3.63023,32.7291692098,65.25,3.629745,-41.9166704814,3.63124833333,-55.4791704814,1.65593903083
"243",387.07952,468.415170908,0.0411055423319,-96.3125,-67.4194869995,"Sst-IRES-Cre",33.0722007483,1.752475,-54.7395846049,1.75146833333,37.8958346049,18.25,1.75106666667,-43.2500025431,1.773645,-55.6666666667,1.86117047863
"246",219.979024,186.718642712,0.127457618713,-96.9375076294,-76.3768463135,"Sst-IRES-Cre",16.5702656939,5.33528166667,-60.6666704814,5.33430333333,26.3437512716,107.83333079,5.33394833333,-44.9791692098,5.335415,-60.8437512716,1.78926610089
"252",209.048544,210.781291127,0.0397304669023,-91.96875,-68.2111053467,"Sst-IRES-Cre",20.0073360232,3.85574,-56.7916692098,3.85493333333,32.8229179382,70.875,3.85461,-41.5104204814,3.855775,-56.8750025431,1.7469860033
"265",187.116976,182.81237781,0.117170937359,-89.4687576294,-69.3327636719,"Ndnf-IRES2-dgCre",36.7985280589,7.3686,-52.2395858765,7.36690666667,31.2291679382,158.666666667,7.36648,-37.2291679382,7.3722,-53.0000012716,2.62899549632
"279",232.153328,422.031313181,0.0748344138265,-98.96875,-66.7581329346,"Sst-IRES-Cre",22.1536513965,2.956155,-50.3333358765,2.95476833333,20.7708339691,48.375,2.95426333333,-38.3750025431,2.95621833333,-50.4062538147,1.94100062964
"280",131.534336,91.7188674212,0.0427062027156,-83.7187576294,-72.9193115234,"Pvalb-IRES-Cre",127.632418634,17.5103125,-58.0468769073,17.5096275,3.82812523842,412.25,17.5093075,-31.2187509537,17.5104,-58.1250019073,0.888078852064
"281",225.293296,231.562420726,0.0236294623464,-96.0312576294,-71.2807159424,"Vip-IRES-Cre",22.7258640993,3.90152666667,-52.958337148,3.90035333333,43.3020846049,72.0833333333,3.89995333333,-43.0208358765,3.90155333333,-53.0729192098,3.03679150966
"293",356.36832,262.890517712,0.077836945653,-98.875,-73.1615219116,"Sst-IRES-Cre",12.4368265741,5.09411833333,-57.2187525431,5.09322,37.9895858765,101.83333079,5.09283,-42.6770858765,5.094165,-57.3541692098,1.9591041744
"314",140.456,139.374956489,0.0474112145603,-88.5,-72.1893692017,"Htr3a-Cre_NO152",20.1507951168,8.93557333333,-51.7291704814,8.93286666667,29.6250019073,197.833333333,8.93251,-36.34375,8.940745,-54.3750038147,3.71892589121
"322",74.373624,36.562461406,0.0477078333497,-88.96875,-77.0860366821,"Pvalb-IRES-Cre",65.2695867037,23.36902,-65.7187525431,23.3684566667,18.9791673024,558.708333333,23.368165,-37.6770858765,23.369045,-65.8020884196,1.10199412915
"394",345.971648,341.718673706,0.0355428121984,-101.968757629,-74.6933822632,"Chrna2-Cre_OE25",20.202879442,2.86658,-60.695315361,2.86494,38.453127861,46.09375,2.8644,-40.1875019073,2.866785,-60.8984413147,2.22230428025
"411",239.256544,210.156217217,0.100539937615,-96.1562576294,-73.0956115723,"Htr3a-Cre_NO152",12.9505465719,5.127865,-50.2968788147,5.126135,33.9218769073,102.625,5.1257175,-34.734375,5.128005,-50.4375038147,2.96601344402
"416",192.807776,182.656213641,0.0680871158838,-97.5937576294,-77.9012298584,"Chrna2-Cre_OE25",12.4247611685,4.44764666667,-60.6562538147,4.44636,34.020837148,85.625,4.4459,-43.270837148,4.44772,-60.7500025431,2.12937930874
"424",441.202464,380.781233311,0.218152210116,-98.65625,-69.4236221313,"Chrna2-Cre_OE25",33.3910720621,2.20775833333,-58.4895858765,2.206655,29.5729173024,29.625,2.20626333333,-39.5833358765,2.20788666667,-58.6875012716,1.69030579443
"440",181.62328,99.0623831749,0.0307512935251,-100.28125,-76.7705001831,"Pvalb-IRES-Cre",83.6879146585,8.56719666667,-65.6979192098,8.5666,14.5104166667,188.666666667,8.56630333333,-40.21875,8.567225,-65.8229192098,1.12733126458
"451",273.04608,186.718717217,0.0737541764975,-92.46875,-71.5811462402,"Sst-IRES-Cre",27.392257122,6.11671166667,-50.0104192098,6.115295,17.4583333333,127.375,6.114805,-35.3854192098,6.12984166667,-53.0729166667,1.84606547137
"460",297.790624,190.134003758,0.0392634160817,-94.4375,-73.6521224976,"Pvalb-IRES-Cre",58.4747327602,7.69839,-49.2968788147,7.69654,-1.421875,166.875,7.6960725,-25.0625,7.6990725,-49.71875,0.982695671178
"483",189.404256,214.464262128,0.0666440650821,-96.1250076294,-71.5020294189,"Sst-IRES-Cre",20.3571065052,4.50351166667,-51.4791692098,4.501265,6.64583365122,87,4.500765,-42.6979179382,4.51684666667,-52.5833358765,2.20819307107
"486",380.892416,291.406184435,0.0525948405266,-97.84375,-68.7102890015,"Sst-IRES-Cre",81.7725166465,3.6849,-56.0937538147,3.68387,13,66.625,3.68341,-32.53125,3.68499,-56.2187538147,1.02734656431
"495",184.436208,114.531256258,0.0726962611079,-99.96875,-75.6578292847,"Pvalb-IRES-Cre",98.6842105263,11.0822966667,-57.239587148,11.0815316667,18.0729166667,251.500005086,11.08118,-31.4270846049,11.0823383333,-57.3333358765,1.17205806036
"507",179.331648,139.375001192,0.0724908262491,-84.59375,-68.9802322388,"Htr3a-Cre_NO152",23.9741912619,7.38636166667,-56.5937512716,7.38456833333,26.666668574,159.125,7.38414833333,-36.5104166667,7.39081333333,-58.3645858765,2.40484246574
"526",203.957264,147.812530398,0.0149024743587,-81.5312576294,-65.2453231812,"Ndnf-IRES2-dgCre",31.3164075607,6.44764666667,-51.5416692098,6.44504,18.1041679382,135.625,6.44448,-39.8437538147,6.44924,-52.3541704814,3.06111784299
"566",249.251248,207.65632391,0.146811291575,-96.9687576294,-73.3074264526,"Sst-IRES-Cre",21.6095903362,5.871155,-56.8020846049,5.87001166667,19.3229173024,121.208323161,5.86955333333,-25.3125012716,5.87134166667,-56.9791692098,1.06142659347
"588",324.972512,194.531053305,0.0784129947424,-100.65625,-80.6183547974,"Pvalb-IRES-Cre",19.1315346148,8.66674,-54.875,8.66602,18.8645852407,191.125,8.66567666667,-34.6354179382,8.666765,-54.9687512716,1.23457492856
"595",301.899872,328.125,0.0192732177675,-102.65625,-64.7194137573,"Htr3a-Cre_NO152",34.9711488022,2.34681166667,-59.4687538147,2.34594,35.46875,33.1249993642,2.345535,-42.9583358765,2.34687333333,-59.5833358765,1.51993088621
"610",135.434912,128.906175494,0.0333370417356,-99.7500076294,-75.9636688232,"Pvalb-IRES-Cre",61.2413624162,8.53784833333,-62.4375038147,8.53716333333,19.0625012716,187.875,8.53684333333,-41.1666679382,8.53788833333,-62.520837148,1.17711676778
"613",263.33368,166.09378159,0.0261067450047,-92.28125,-74.4759140015,"Nkx2-1-CreERT2",72.0461095101,6.03288,-49.6562512716,6.03170666667,15.6562503179,125.291664124,6.03126,-30.1354179382,6.03328666667,-49.8437525431,1.28879433409
"630",318.976576,203.90625298,0.0408348329365,-98.0937576294,-75.6354217529,"Sst-IRES-Cre",12.7231858857,6.23983833333,-54.8958346049,6.23876333333,19.7708339691,130.458335876,6.238325,-31.3333346049,6.23992333333,-55.0312525431,1.2850622274
"636",294.821152,187.656208873,0.136457264423,-99.0625,-79.2035446167,"Sst-IRES-Cre",25.826446281,4.867715,-57.328125,4.86636,19.8125009537,96.1875,4.8659075,-29.625,4.8679275,-57.5000019073,1.46527709283
"654",121.162568,111.250080168,0.00985852256417,-93.3125,-72.4832229614,"Pvalb-IRES-Cre",81.6898121134,11.98376,-57.3229166667,11.983005,10.0000003179,274.083333333,11.9826983333,-32.1666673024,11.9838516667,-57.4583346049,1.16986745695
"669",78.749264,103.437386453,0.0324804931879,-83.5937576294,-71.7685928345,"Htr3a-Cre_NO152",9.13017923683,8.850905,-53.5625025431,8.84468333333,27.1770839691,195.583333333,8.84422,-35.4375012716,8.85841,-57.0520858765,3.68133865862
"671",172.653536,149.218559265,0.207872197032,-90.84375,-73.4568405151,"Chrna2-Cre_OE25",17.1695926514,4.28827333333,-55.5208346049,4.28706666667,41.3958358765,81.625,4.28664666667,-42.0000038147,4.28832666667,-55.5833346049,2.34684718372
"677",412.892288,284.062385559,0.077246196568,-91.75,-70.5716781616,"Chrna2-Cre_OE25",43.3938091499,3.6482,-57.0937538147,3.64658,8.06250095367,65.625,3.6461,-29.90625,33.09534,-69.5312576294,1.3283300904
"702",223.109568,232.187509537,0.111068345606,-96.71875,-71.7542190552,"Sst-IRES-Cre",25.555159214,4.747575,-54.9583358765,4.746425,19.666668574,93.1666666667,4.74600166667,-36.2708346049,4.74773166667,-55.1979179382,1.5224869837
"715",183.381344,189.06250596,0.11237899214,-96.0625,-74.3197021484,"Sst-IRES-Cre",9.22339051835,6.23734166667,-51.9791692098,6.23574166667,37.0312525431,130.333335876,6.23526,-36.9583333333,6.23751666667,-52.1145858765,2.57479334184
"727",125.898584,66.875115037,0.0498955063522,-85.9687576294,-76.5811386108,"Gad2-IRES-Cre",99.6760528283,15.2827816667,-56.6458346049,15.2818633333,11.34375,356.5,15.2815,-30.6145833333,15.2828483333,-56.7604179382,1.15905246432
"749",252.710896,231.562614441,0.244886443019,-91.875,-66.3758010864,"Htr3a-Cre_NO152",91.2616929044,6.20492166667,-49.8854166667,6.20349,22.3125006358,129.541666667,6.20310333333,-35.3645833333,6.206225,-50.2604204814,2.08052494233
"791",287.679552,221.093714237,0.0425620898604,-97.3437576294,-74.0521774292,"Pvalb-IRES-Cre",92.1612315171,7.674715,-52.9895858765,7.67335833333,6.21875047684,166.291666667,7.67291666667,-26.0520852407,7.67562166667,-53.4895858765,1.10661698686
"797",220.416992,74.21875,0.0696823075414,-86.34375,-69.6425094604,"Pvalb-IRES-Cre",179.32431003,12.5741366667,-57.3229204814,12.57346,8.48958396912,288.833333333,12.5731116667,-34.8437512716,12.574195,-57.4166679382,1.03666333779
"862",129.36264,223.437577486,0.196279138327,-90.46875,-65.7717132568,"Sst-IRES-Cre",19.6416490256,3.872615,-56.3645846049,3.87071,26.4895833333,71.25,3.87010166667,-39.3958346049,3.87297,-56.6354192098,2.04554102487
"882",179.327808,183.906212449,0.0880968868732,-96.78125,-77.7048721313,"Sst-IRES-Cre",22.3226742564,6.30315666667,-57.5729192098,6.302125,36.7083333333,132.041666667,6.301745,-42.0729179382,6.303235,-57.6979179382,1.98048366208
"898",124.348424,85.2678567171,0.0462696291506,-94.625,-75.4902877808,"Pvalb-IRES-Cre",81.5931053826,13.4760866667,-52.9270858765,13.4748566667,3.65625,311.333333333,13.4744616667,-29.8333333333,13.477305,-53.7708333333,1.05880581915
"922",411.488128,248.437315226,0.140486836433,-100.28125,-70.3994216919,"Htr3a-Cre_NO152",21.068155483,4.6977375,-50.96875,4.6968,31.468752861,91.875,4.6964475,-32.625,4.6977625,-51.0156269073,1.81359638644
"936",233.500064,164.174243808,0.0358238145709,-89.7812576294,-71.7546920776,"Nkx2-1-CreERT2",17.7739859941,5.69628666667,-49.5000025431,5.69379333333,28.5937512716,116.83333079,5.69334666667,-31.635418574,5.70384666667,-53.4583358765,3.22983217487
"951",184.239136,167.008861899,0.121829211712,-92.3125076294,-72.6638336182,"Chat-IRES-Cre-neo",64.495324089,7.22661333333,-60.6354204814,7.22576666667,26.4895852407,155.083328247,7.22536,-39.6354192098,7.22664666667,-60.6875012716,1.35927571943
"954",176.425456,164.687469602,0.0220953691751,-99.6250076294,-70.6443405151,"Pvalb-IRES-Cre",110.634766976,10.2728583333,-57.6145858765,10.2720816667,16.708334287,231.291666667,10.2717583333,-28.947918574,10.27291,-57.7604192098,1.17593769494
"957",163.21872,109.843865037,0.0344318971038,-98.5625,-75.1213531494,"Pvalb-IRES-Cre",105.076843818,9.15767,-53.0104192098,9.15675666667,2.33333333333,203.416666667,9.15633,-31.7604166667,9.15772333333,-53.0625025431,1.00694449545
