specimen_id,adaptation,avg_isi,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,input_resistance_mohm,latency,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,ri,sag,slow_trough_t_long_square,slow_trough_t_ramp,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_v_ramp,slow_trough_v_short_square,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest,transgenic_line,reporter_status,height,binary_neuron
490612844,0.2518298676,70.105,0.0900793674,1.08307,5.6597016667,1.025854,-50.3125038147,-50.8229179382,-54.6375030518,190.866704,0.029535,1.079695,5.6552066667,1.023478,25.7500019073,26.8020846049,26.3000015259,170.6250458956,0.0146091292,1.73933,5.6803766667,1.57757,-55.7812538147,-56.8125025431,-75.2062545776,150,115.875,780,1.079065,5.6545166667,1.022943,-43.3125,-38.6875025431,-49.9000030518,1.73933,5.6803766667,1.57757,-55.7812538147,-56.8125025431,-75.2062545776,2.8422846469,2.5382313044,2.9199902984,-94.0000076294,-75.3428726196,Rbp4-Cre_KL100,cre reporter positive,80.9375045776,Excitatory
464326210,0.0047466706,7.1788888889,0.0655502392,1.029705,,1.023790625,-64.5937576294,,-65.71484375,180.26936,0.005765,1.028935,,1.023030625,18.8750019073,,21.7265632153,114.2187491059,0.0589748584,1.60575,,1.363485625,-45.625,,-69.21484375,160,,350,1.028605,,1.022731875,-47.125,,-48.1210947037,1.029775,,1.363485625,-64.71875,,-69.21484375,1.3286690995,,1.3629562922,-83.125,-69.6380767822,Gad2-IRES-Cre,cre reporter positive,87.4414069653,Inhibitory
475517157,0.0479778872,50.6313888889,0.2912946534,1.078045,4.1196133333,1.0241958333,-62.3437538147,-59.4375012716,-63.0104198456,254.30064,0.02136,1.07737,4.1189066667,1.0235083333,27.9375019073,28.6458346049,28.0208349228,188.7499243021,0.0210860185,,4.139225,1.3976216667,,-56.6770858765,-77.2135454814,90,77.5,71.6666717529,1.07699,4.1185283333,1.02315,-49.78125,-48.5416692098,-50.6250019073,1.07807,4.1196816667,1.3976216667,-62.4375038147,-59.5625025431,-77.2135467529,1.5145105049,1.6129978916,1.5088935227,-97.53125,-76.1265106201,Sst-IRES-Cre,cre reporter positive,91.0312547684,Inhibitory
464198958,0.0080075192,42.8673913043,0.3255244725,1.101295,1.7756966667,1.0258825,-67.40625,-66.5937525431,-67.8020846049,318.735008,0.01323,1.09906,1.7736033333,1.0238416667,39.375,49.8333346049,50.8385423024,358.3533763886,0.1233621985,,,1.0541241667,,,-68.546875,20,18.7916663488,200,1.09838,1.772935,1.0232666667,-48.09375,-44.5416692098,-46.0885423024,1.10159,1.7759016667,1.0541241667,-67.65625,-66.7916692098,-68.546875,2.3500174063,2.1421211064,2.2625250108,-100.1875,-66.2410736084,Sst-IRES-Cre,cre reporter positive,118.6406269073,Inhibitory
487537399,0.000606499,6.2868670886,2.5092513928,1.032065,9.0428883333,1.023625,-65.84375,-55.895837148,-66.2000030518,175.237632,0.00598,1.031545,9.0421466667,1.02314,6.6875004768,2.3854169846,19.3875011444,114.8435622454,0.0471121594,1.129385,,1.693986,-46.09375,,-77.7812530518,230,200.5416615804,352,1.031285,9.041805,1.022917,-37.71875,-28.479168574,-51.6312522888,1.03208,9.0429616667,1.693986,-65.9375076294,-56.0312512716,-77.7812530518,0.9866171007,0.8148035265,1.1934464482,-101.2500076294,-77.1630325317,Pvalb-IRES-Cre,cre reporter positive,85.5875041962,Inhibitory
476457450,0.0476945778,62.894,0.1594697074,1.118395,4.17376,1.025411,-45.6875,-46.9583358765,-47.7625022888,173.447264,0.04292,1.11636,4.1717083333,1.023462,37.71875,40.0833339691,40.4937507629,210.468634963,0.0526439473,1.139235,4.2098583333,1.411247,-48.25,-53.0833358765,-77.4375045776,70,78.7916666667,780,1.11585,4.1712016667,1.022979,-37.7812538147,-35.3750025431,-44.6812515259,1.139235,4.2098583333,1.411247,-48.25,-53.0833358765,-77.4375061035,3.2371678674,3.0344421751,3.6075116359,-97.21875,-75.3036117554,Nr5a1-Cre,cre reporter positive,88.2562530518,Excitatory
478412623,0.0239068846,29.8609375,0.5583579903,1.18942,2.245815,1.02442,-61.3750038147,-60.2187525431,-61.859377861,360.87904,0.021375,1.18842,2.2448133333,1.0234275,23.6250019073,29.0312506358,25.3750014305,337.9464447498,0.1777706742,1.426085,,1.31154125,-60.2812538147,,-69.7109394073,20,30.625,350,1.18802,2.2443833333,1.02304375,-45.1250038147,-44.3020846049,-46.7500009537,1.189505,2.2458616667,1.31154125,-61.4687538147,-60.3229204814,-69.7109394073,1.6485235306,1.6406354083,1.6799470649,-100.0312576294,-69.2231445313,Sst-IRES-Cre,cre reporter positive,87.2343792915,Inhibitory
569469018,0.0528032087,92.848,0.1847740668,1.16854,2.2504666667,1.0248466667,-46.8125,-46.5937512716,-48.8541679382,504.248832,0.03838,1.16562,2.2479266667,1.02316,43.6875038147,45.9687512716,44.1354192098,402.7644097805,0.1547615081,1.20982,2.2951333333,1.8318266667,-55.6875038147,-55.958337148,-74.6458384196,50,30.7083326976,660,1.16512,2.24742,1.0227466667,-35.3125,-35.2812512716,-43.1041692098,1.20982,2.2951333333,1.8318266667,-55.6875038147,-55.958337148,-74.6458384196,3.4306170271,3.3540754974,3.3828298725,-104.9687576294,-73.0341339111,Chrna2-Cre_OE25,cre reporter positive,92.989587148,Inhibitory
490789494,0.0140817883,51.6847222222,0.3299107143,1.18923,3.0063983333,1.02418,-63.0625038147,-62.1562525431,-64.6718788147,203.879312,0.02328,1.188445,3.0056083333,1.02331875,36.5000038147,37.9583346049,38.164065361,264.6875083447,0.0848891288,1.20287,3.023075,1.25033375,-55.4375,-54.7291679382,-66.8203125,50,49.625,210,1.18812,3.00526,1.0230025,-42.0625038147,-43.2604192098,-44.9375019073,1.18926,3.0064333333,1.25033375,-63.1562538147,-62.2708346049,-66.8203125,1.7492095804,1.6927780623,1.8348471312,-94.8750076294,-65.863571167,Sst-IRES-Cre,cre reporter positive,102.8359441757,Inhibitory
490916919,,61.145,0.0877221248,1.089335,8.97773,1.025553,-48.5312538147,-48.1458358765,-53.7437522888,135.84384,0.028495,1.08618,8.9739216667,1.02358,23.5000019073,20.3645846049,25.9437511444,121.6346472502,0.0059941025,1.10257,8.99274,1.446244,-52.5312538147,-52.5625025431,-68.3312515259,200,198.8333282471,830,1.085565,8.9731833333,1.023103,-36.59375,-32.3750012716,-47.6625015259,1.10257,8.99274,1.446244,-52.5312538147,-52.5625025431,-68.3312515259,2.4462161428,1.9241111542,2.8722062142,-80.5312576294,-68.0202865601,Rbp4-Cre_KL100,cre reporter positive,79.6875034332,Excitatory
488688344,,,0.0054491508,1.042855,6.6734733333,1.025011,-52.2187538147,-45.2187525431,-55.7875030518,231.658592,0.00999,1.040985,6.67166,1.023336,29.0000019073,28.447918574,35.7625007629,192.0535862446,0.0073593408,1.632435,6.6919333333,1.612528,-48.71875,-50.0208358765,-67.3937530518,140,141.2916666667,450,1.040515,6.67096,1.022946,-39.6875038147,-31.1666679382,-48.1375022888,1.04305,6.6919333333,1.612528,-52.5000038147,-50.0208358765,-67.3937530518,2.4746264682,1.7580552119,2.9362278808,-86.75,-66.3029708862,Ntsr1-Cre_GN220,cre reporter positive,91.5500038147,Excitatory
482744155,0.0872583041,67.7532142857,0.2162946429,1.07639,3.117295,1.024358,-57.6875038147,-55.1458358765,-58.0375022888,277.678944,0.01694,1.075405,3.116345,1.023432,24.9375019073,24.6041679382,24.8812511444,238.28125,0.013189774,,3.13251,1.415886,,-54.8958346049,-67.5812530518,50,52.4166666667,0,1.07507,3.1160033333,1.023123,-46.8437538147,-44.4791692098,-47.6687538147,1.07642,3.11739,1.415886,-57.75,-55.2916704814,-67.5812530518,2.0673130842,1.9615790797,2.0347158005,-92.0000076294,-66.556060791,Sst-IRES-Cre,cre reporter positive,82.9187534332,Inhibitory
466664172,0.03617383,39.7744736842,0.2721446733,1.08975,1.69307,1.0244716667,-56.0625,-54.8593769073,-57.6145858765,594.601088,0.023255,1.08839,1.691635,1.0232566667,24.1875019073,26.203125,24.1354179382,476.5624403954,0.0150903426,,,1.8302316667,,,-70.1250050863,30.0000019073,16.7500004768,380,1.08792,1.6911675,1.0228566667,-44.7187538147,-43.5625019073,-45.6354192098,1.089815,1.7019875,1.8302316667,-56.2500038147,-55.0468769073,-70.1250050863,2.0876312447,2.2053316648,2.036319901,-101.3437576294,-66.9524688721,Sst-IRES-Cre,cre reporter positive,81.7500038147,Inhibitory
515202564,0.0154623127,71.5476923077,0.1412744527,1.23948,5.7413533333,1.025428,-48.5312538147,-46.1770833333,-51.8750022888,169.609664,0.05996,1.23638,5.7388533333,1.02346,32,38.9791666667,36.8625022888,123.9062473178,0.069372654,1.27496,5.7822066667,1.605676,-59.2500038147,-55.6458333333,-78.3750045776,100,117.7083282471,1080,1.23594,5.7384266667,1.023104,-38.21875,-35.6354166667,-45.3062515259,1.27496,5.7822066667,1.605676,-59.2500038147,-55.6458333333,-78.3750045776,3.8240729838,3.9976222416,3.8306504713,-92.0625,-77.8588638306,Scnn1a-Tg3-Cre,cre reporter positive,88.7375045776,Excitatory
320668879,,225.13,0.1203583075,1.17007,4.289245,1.027009,-46.0625,-46.7604166667,-51.2312515259,186.38848,0.12062,1.16569,4.2850866667,1.023657,20.5625,24.96875,25.4312507629,198.593750596,0.0686916411,1.208565,4.332895,1.525379,-51.9375,-53.7812512716,-74.7875015259,70,81.625,0,1.164965,4.2843783333,1.023137,-35.8125,-35.875,-27.8875003815,1.208565,4.332895,1.525379,-51.9375,-53.7812512716,-74.7875015259,3.302888924,3.3261024368,2.8671467598,-95.09375,-74.0220184326,Scnn1a-Tg2-Cre,cre reporter positive,76.6625022888,Excitatory
510658021,0.0238049459,64.0257142857,0.192937237,1.15694,4.25414,1.024895,-47.84375,-49.3437525431,-50.8593769073,250.077936,0.05254,1.15528,4.2524266667,1.023525,45.3437538147,44.7812512716,45.3359394073,133.4373801947,0.048348248,1.18186,4.29098,1.53851,-52.4375038147,-53.7812525431,-81.1953125,110,80.7916666667,0,1.15486,4.2519733333,1.023155,-37.40625,-36.4270846049,-47.9765644073,1.18186,4.29098,1.53851,-52.4375038147,-53.7812525431,-81.1953125,3.569341884,3.4268663155,4.0180260213,-96.5,-80.5925750732,Nr5a1-Cre,cre reporter positive,96.1953163147,Excitatory
486510127,,,0.2039999989,1.07723,4.346615,1.024625,-52.5312538147,-51.5312519073,-52.6250038147,359.283392,0.052085,1.075745,4.344885,1.02332,40.8125038147,42.0000019073,43.4375038147,148.4373062849,0.0371574648,1.970905,4.38288,1.85571,-53.90625,-59.0781269073,-81.8437576294,170,83.125,810.0000610352,1.075355,4.3444825,1.02297,-44.5312538147,-40.671875,-51.8750038147,1.970905,4.38288,1.85571,-53.90625,-59.0781269073,-81.8437576294,3.6852628408,3.5499880524,4.0290870033,-94.1562576294,-80.2609176636,Nr5a1-Cre,cre reporter positive,96.0625076294,Excitatory
323452245,,,0.0117647064,1.04684,,1.0260625,-48.8437538147,,-52.1666673024,82.828368,0.012775,1.04461,,1.0236733333,32.78125,,36.369793574,66.2499591708,0.0778115019,1.89614,,1.5470791667,-51.21875,,-72.3125012716,390,,930,1.044115,,1.0231916667,-46.875,,-54.0885429382,1.89614,,1.5470791667,-51.21875,,-72.3125012716,3.7188018869,,3.633284959,-78.90625,-71.9792022705,Sst-IRES-Cre,cre reporter positive,88.5364608765,Inhibitory
501563275,0.0260136954,84.2527272727,0.1746212138,1.2,8.5437933333,1.02574,-46.90625,-46.9166679382,-53.8250015259,162.225472,0.04248,1.1975,8.5413133333,1.023672,33.3750038147,37.34375,35.9000022888,160.1562798023,0.1646226496,1.22254,8.5722266667,1.117364,-48.03125,-49.7083346049,-76.8000045776,170,188,0,1.19684,8.5406333333,1.023168,-33.65625,-32.0625006358,-46.5312515259,1.22254,8.5722266667,1.117364,-48.03125,-49.7083346049,-76.8000045776,2.4592183831,2.3792733951,2.8872585327,-93.9687576294,-76.3359832764,Ntsr1-Cre_GN220,cre reporter positive,89.7250038147,Excitatory
322197295,0.134182159,28.2175,0.0338008415,1.149425,2.77798,1.024485,-59.3750038147,-56.8125,-60.5750015259,278.821728,0.024615,1.14831,2.776795,1.023344,27.3750019073,28.6875012716,27.8812507629,343.1250751019,0.0152803427,,,1.740821,,,-70.7875045776,40,43.9166666667,410,1.14791,2.776385,1.022985,-46.2187538147,-43.3229166667,-47.9,1.14951,2.7780433333,1.740821,-59.5312538147,-56.9270858765,-70.7875045776,2.0104735175,2.0623776388,2.0368430599,-101.0937576294,-70.1568450928,Sst-IRES-Cre,cre reporter positive,88.4562522888,Inhibitory
488420599,0.0423226332,83.7481818182,0.1900442562,1.20621,5.4307816667,1.0251316667,-44.28125,-42.7500038147,-50.9895846049,243.125056,0.054805,1.2022,5.4289666667,1.0233966667,18.78125,32.5104179382,21.3697926203,187.3438358307,0.0894831419,1.25133,5.4694116667,1.5338708333,-55.7812538147,-53.239587148,-79.255212148,90,110.2083333333,758.333384196,1.201635,5.4284683333,1.0229425,-36.46875,-34.0520833333,-41.8593775431,1.25133,5.4694116667,1.5338708333,-55.7812538147,-53.239587148,-79.255212148,2.6789959347,2.7594340109,2.6773210472,-96.5312576294,-78.4394836426,Rbp4-Cre_KL100,cre reporter positive,72.3593772252,Excitatory
477127614,0.0311050608,62.4966666667,0.2859043901,1.269505,2.4180525,1.02511,-52.09375,-51.4375038147,-54.0437530518,338.62912,0.041805,1.267385,2.415935,1.023375,39.6875038147,42.390625,38.1875022888,339.6206796169,0.026388593,1.3053,2.44975,1.719038,-57.5,-55.9687519073,-74.9750045776,30.0000019073,34.8749990463,450,1.2669,2.4154475,1.02296,-42.8125038147,-42.1718769073,-48.4062507629,1.3053,2.44975,1.719038,-57.5,-55.9687519073,-74.9750045776,3.701594925,3.8797589127,3.6777654423,-101.9062576294,-72.08177948,Slc17a6-IRES-Cre,cre reporter positive,92.2312553406,Excitatory
486235288,,315.8,0.2418936446,1.234845,3.1429016667,1.0254583333,-49.8125038147,-45.364587148,-49.3958358765,175.231728,0.139925,1.2326,3.140345,1.023555,45.5937538147,40.9687512716,46.8333358765,214.9999290705,0.1055687144,1.293445,3.195075,1.21973,-57.7812538147,-54.0104204814,-69.0833358765,40,52.9999987284,550,1.23213,3.1398266667,1.023125,-41.0312538147,-36.4583358765,-43.8958346049,1.293445,3.195075,1.21973,-57.7812538147,-54.0104204814,-69.0833358765,3.8059332009,3.5857822672,4.0439766439,-92.2500076294,-68.580871582,Cux2-CreERT2,cre reporter positive,96.2291717529,Excitatory
535708196,0.4103743748,24.8866666667,0.053163074,1.19904,11.0209266667,1.0244333333,-54.5937538147,-50.6354179382,-56.7500038147,302.033856,0.02222,1.19812,11.0196266667,1.02348,32.84375,18.9791676203,35.3541692098,287.3438000679,0.1550024748,1.74374,11.0685066667,1.9308266667,-57.1875,-46.6666679382,-70.1562550863,40,250,300,1.19772,11.0190333333,1.0231,-40.0000038147,-38.71875,-47.4583333333,1.74374,11.0210866667,1.9308266667,-57.1875,-50.7916679382,-70.1562550863,1.7839550343,1.5811534012,1.8611079257,-100.3750076294,-69.8161087036,Vip-IRES-Cre,cre reporter positive,92.1041730245,Inhibitory
519517188,,,0.0459984166,1.04794,10.9344666667,1.02436,-53.4687538147,-45.1458346049,-55.2187522888,215.275376,0.01672,1.047,10.9328533333,1.023432,23.0000019073,15.583334287,29.9750011444,141.0937160254,0.103318736,,10.9383066667,1.604424,,-46.0312538147,-73.8562515259,140,247.9166615804,509.9999694824,1.04668,10.9324266667,1.023144,-39.65625,-34.9375,-45.1625022888,1.04796,10.9383066667,1.604424,-53.53125,-46.0312538147,-73.8562515259,2.0757909451,2.3803840063,2.1651751688,-89.8125,-73.7110214233,Htr3a-Cre_NO152,cre reporter positive,85.1937534332,Inhibitory
577218602,,,0,1.0408,6.39712,1.025204,-51.28125,-42.5,-55.5000038147,314.564928,0.0092,1.03916,6.39482,1.02348,32.15625,18.5,37.3500015259,247.5001066923,0.038181331,,,1.6977,,,-69.5375015259,90,134.375,270,1.03874,6.3937,1.023096,-43,-30.5312519073,-47.3250038147,1.04094,6.3981,1.6977,-51.3437538147,-42.7812538147,-69.5375015259,3.1808620782,1.4977561897,3.3363243934,-95.65625,-68.6338882446,Chat-IRES-Cre-neo,cre reporter positive,92.8500053406,Inhibitory
329241587,0.1635187579,39.7716666667,0.065997437,1.09285,6.878055,1.0242358333,-55.5,-53.90625,-59.9270839691,190.409872,0.02923,1.09202,6.87723,1.0234216667,18.75,22.0104179382,25.6927086512,143.7499970198,0.0830477774,1.103645,,1.3993441667,-53.1875,,-71.5052083333,90,146.4166666667,550,1.09161,6.8767616667,1.0229966667,-43.6562538147,-37.4583333333,-47.6406256358,1.09293,6.8780916667,1.3993441667,-55.65625,-54.0312512716,-71.5052083333,1.3965250593,1.2020338978,1.3385040586,-91.375,-70.9986572266,Sst-IRES-Cre,cre reporter positive,85.6197926203,Inhibitory
322229594,0.0141153754,34.3007142857,0.4464864865,1.089295,3.8376133333,1.02460125,-53.75,-53.1458346049,-58.773440361,246.92152,0.02504,1.0882,3.8364416667,1.02328875,12.8125,14.8333336512,10.8984382153,249.3303567171,0.1250998527,,3.8535066667,1.33669875,,-51.8541692098,-65.5078144073,70,70.375,440,1.0878,3.8360233333,1.022935,-39.625,-35.9375,-42.0859375,1.089365,3.8376666667,1.33669875,-53.84375,-53.2291666667,-65.5078144073,1.6605080463,1.5579662122,1.6310524952,-94.46875,-65.5227432251,Sst-IRES-Cre,cre reporter positive,69.6718785763,Inhibitory
526951157,0.0091525921,55.5352941176,0.2783333333,1.21902,3.0375333333,1.02632,-51.5000038147,-50.3750012716,-51.7395858765,190.132208,0.02666,1.2154,3.0343,1.0235933333,42.5625038147,46.4583346049,41.1458346049,150.1563638449,0.0869927704,1.2419,3.0752466667,1.8405666667,-55.84375,-54.2916692098,-66.3125025431,50,50.3333333333,300,1.21486,3.0337533333,1.0231333333,-46.0000038147,-45.4687525431,-47.0208346049,1.2419,3.0752466667,1.8405666667,-55.84375,-54.2916692098,-66.3125025431,4.0431381903,4.3652231808,4.1387199243,-83.9375,-66.0966186523,Ctgf-T2A-dgCre,cre reporter positive,92.8854204814,Excitatory
481096407,0.0118933291,7.4411111111,0.9662500453,1.028925,,1.02387,-59.3125038147,,-59.3203163147,308.718176,0.00525,1.028155,,1.02311375,7.8125,,10.0703132153,235.1560592651,0.1042892784,1.97483,,1.35122625,-42.8125038147,,-67.5781269073,150,,300,1.0277,,1.022875,-34.5625038147,,-40.367190361,1.02897,,1.35122625,-59.4375038147,,-67.5781269073,1.1339126314,,1.4094773924,-99.2187576294,-66.3197097778,Pvalb-IRES-Cre,cre reporter positive,69.39062953,Inhibitory
475625477,0.0549845832,26.0741666667,0.0354910738,1.090215,3.3911766667,1.0242708333,-45.9062538147,-42.8750025431,-52.7500019073,271.40336,0.01764,1.089095,3.3898633333,1.0232466667,36.625,32.7291692098,40.791668574,263.7501060963,0.0334620662,1.097415,3.406125,1.6166958333,-46.59375,-46.0000025431,-67.2447954814,70,59.25,350,1.08876,3.3894583333,1.02297,-34.9062538147,-32.4479179382,-41.6979192098,1.097415,3.406125,1.6166958333,-46.59375,-46.0000025431,-67.2447954814,2.3473805659,2.0692994029,2.3896023447,-94.21875,-66.1558990479,Htr3a-Cre_NO152,cre reporter positive,93.5416704814,Inhibitory
502887600,0.0399574818,103.7377777778,0.1358940397,1.17924,4.1991333333,1.025356,-52.4687538147,-52.1666704814,-55.8750015259,184.994368,0.05102,1.17666,4.1964,1.023528,37.875,34.5833333333,35.4687515259,184.8438233137,0.1374426186,1.22168,4.2371933333,1.260108,-63.3125,-60.1666704814,-77.075,70,79.375,780,1.17622,4.1958666667,1.023136,-41.46875,-40.1250025431,-47.4312507629,1.22168,4.2371933333,1.260108,-63.3125,-60.1666704814,-77.0750015259,4.0391183387,3.5062108851,3.5400513279,-94.5000076294,-76.536239624,Rorb-IRES2-Cre,cre reporter positive,91.3437530518,Excitatory
